,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
0,2.0,0.0,0.0,4138.0,110.0,131.0,0.7437384659999999,0.25626153399999996
2,2.0,2.0,0.0,1521.0,50.0,44.0,0.575352635,0.424647365
4,2.0,4.0,1.0,1921.0,42.0,50.0,0.36798991799999997,0.6320100820000001
6,2.0,6.0,0.0,3630.0,78.0,80.0,0.27813041,0.72186959
8,2.0,8.0,0.0,5770.0,50.0,48.0,0.268957992,0.731042008
10,2.0,10.0,0.0,1616.0,46.0,50.0,0.5940594060000001,0.405940594
12,2.0,12.0,1.0,1554.0,50.0,56.0,0.521060842,0.478939158
14,2.0,14.0,0.0,2592.0,110.0,124.0,0.6178571429999999,0.382142857
16,2.0,16.0,1.0,4961.0,64.0,80.0,0.604716791,0.39528320899999997
18,2.0,18.0,1.0,2382.0,101.0,110.0,0.518683274,0.48131672600000003
20,2.0,20.0,1.0,1506.0,50.0,42.0,0.490566038,0.509433962
22,2.0,22.0,1.0,1683.0,77.0,80.0,0.700960219,0.299039781
24,2.0,24.0,0.0,1236.0,44.0,50.0,0.41262135899999997,0.587378641
26,2.0,26.0,0.0,3641.0,50.0,46.0,0.288382313,0.711617687
28,2.0,28.0,1.0,2387.0,133.0,110.0,0.6585912970000001,0.341408703
30,2.0,30.0,0.0,3178.0,126.0,110.0,0.41328273200000004,0.586717268
32,2.0,32.0,1.0,2266.0,110.0,126.0,0.35266159700000005,0.647338403
34,2.0,34.0,0.0,1914.0,80.0,77.0,0.607843137,0.39215686299999997
36,2.0,36.0,0.0,3482.0,80.0,64.0,0.301550833,0.698449167
38,2.0,38.0,1.0,1643.0,124.0,110.0,0.371272063,0.6287279370000001
40,2.0,40.0,0.0,3014.0,128.0,110.0,0.736674622,0.263325378
42,2.0,42.0,0.0,1962.0,54.0,50.0,0.300713558,0.699286442
44,2.0,44.0,1.0,2794.0,105.0,110.0,0.43235504700000005,0.567644953
46,2.0,46.0,1.0,5363.0,96.0,80.0,0.528062652,0.471937348
48,2.0,48.0,0.0,1041.0,110.0,128.0,0.5408261289999999,0.459173871
50,2.0,50.0,0.0,1479.0,110.0,119.0,0.564570656,0.435429344
52,2.0,52.0,0.0,2726.0,58.0,50.0,0.631327953,0.368672047
54,2.0,54.0,1.0,1629.0,74.0,80.0,0.47513812200000005,0.524861878
56,2.0,56.0,0.0,1625.0,66.0,80.0,0.698461538,0.301538462
58,2.0,58.0,1.0,5695.0,94.0,110.0,0.431606673,0.568393327
60,2.0,60.0,1.0,1108.0,75.0,80.0,0.634476534,0.365523466
62,2.0,62.0,1.0,1223.0,89.0,110.0,0.592705167,0.40729483299999997
64,2.0,64.0,0.0,966.0,110.0,98.0,0.6107660460000001,0.389233954
66,2.0,66.0,0.0,1325.0,110.0,94.0,0.708679245,0.291320755
68,2.0,68.0,1.0,1318.0,50.0,54.0,0.632776935,0.367223065
70,2.0,70.0,0.0,1109.0,50.0,52.0,0.6474301170000001,0.352569883
72,2.0,72.0,0.0,3687.0,87.0,110.0,0.40249525399999997,0.597504746
74,2.0,74.0,0.0,1499.0,80.0,96.0,0.708779443,0.291220557
76,2.0,76.0,0.0,1230.0,50.0,55.0,0.52601626,0.47398374
78,2.0,78.0,1.0,1764.0,45.0,50.0,0.487528345,0.512471655
80,2.0,80.0,0.0,1351.0,50.0,53.0,0.564766839,0.43523316100000004
