,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,react_time
184,2,64,4594.054,1,70,58,0.619842142,0.380157858,4597.054
185,2,65,15601.451,0,54,40,0.565375218,0.434624782,15601.451
186,2,66,7309.275,1,70,54,0.460567757,0.539432243,7309.275
187,2,67,5190.82,1,40,26,0.431770338,0.568229662,5190.82
188,2,68,20879.898,0,10,14,0.537222196,0.462777804,20881.898
189,2,69,4408.831,0,58,70,0.626910867,0.373089133,4408.831
190,2,70,13117.59,0,10,12,0.593591665,0.406408335,13117.59
191,2,71,5613.966,1,70,49,0.48026984,0.51973016,5613.966
192,2,72,5082.736,0,47,70,0.597633198,0.402366802,5082.736
193,2,73,8499.643,0,70,65,0.545920989,0.454079011,8499.643
194,2,74,7979.472,0,40,56,0.685428176,0.314571824,7979.472
195,2,75,15395.867,1,40,46,0.489004806,0.510995194,15395.867
196,2,76,8201.57,0,10,15,0.51977983,0.48022017,8204.57
197,2,77,6820.168,1,40,34,0.531459232,0.468540768,6820.168
198,2,78,8076.828,0,5,10,0.546032553,0.453967447,8076.828
199,2,79,5123.042,0,29,40,0.61373707,0.38626293,5126.042
200,2,80,7575.096,0,10,13,0.487483389,0.512516611,6410.096
201,2,81,4658.442,1,10,0,0.441590062,0.558409938,4658.442
202,2,82,7008.028,0,40,48,0.639995732,0.360004268,7011.028
203,2,83,13829.928,0,75,70,0.545599007,0.454400993,13831.928
204,2,84,2747.496,0,63,70,0.658105717,0.341894283,2747.496
205,2,85,12428.383,1,50,40,0.503886863,0.496113137,12431.383
206,2,86,4775.54,0,40,32,0.63402706,0.36597294,4775.54
207,2,87,6153.953,1,53,40,0.517037376,0.482962624,6153.953
208,2,88,5461.167,0,40,50,0.579441844,0.420558156,5464.167
209,2,89,7037.482,1,48,40,0.516941445,0.483058555,7039.482
210,2,90,15416.275,1,40,30,0.562059795,0.437940205,15419.275
211,2,91,5270.916,0,40,53,0.685133126,0.314866874,5270.916
212,2,92,5931.903,1,42,40,0.560524219,0.439475781,5931.903
213,2,93,4572.768,1,10,1,0.498658951,0.501341049,4574.768
214,2,94,5824.12,0,56,70,0.592795979,0.407204021,5824.12
215,2,95,8615.398,1,40,45,0.607625246,0.392374754,8617.398
216,2,96,8031.564,1,20,10,0.614044766,0.385955234,8031.564
217,2,97,2722.327,0,1,10,0.661126144,0.338873856,2722.327
218,2,98,14101.24,1,70,56,0.528823156,0.471176844,14104.24
219,2,99,8237.123,0,32,40,0.494751381,0.505248619,8402.123
220,2,100,5628.714,0,9,10,0.713315791,0.286684209,5463.714
221,2,101,7812.105,0,3,10,0.64987225,0.35012775,7812.105
222,2,102,13191.96,0,11,10,0.598301041,0.401698959,13193.96
223,2,103,7394.705,0,72,70,0.555848358,0.444151642,7397.705
224,2,104,13209.633,0,0,10,0.603075628,0.396924372,13209.633
225,2,105,9956.088,0,10,11,0.545698003,0.454301997,9956.088
226,2,106,11160.33,0,45,40,0.622132792,0.377867208,11160.33
227,2,107,10567.69,1,10,9,0.632575661,0.367424339,10567.69
228,2,108,3856.248,1,10,3,0.518198927,0.481801073,3856.248
229,2,109,9273.443,0,40,42,0.576862351,0.423137649,9273.443
230,2,110,2950.943,0,10,20,0.708817427,0.291182573,2950.943
231,2,111,13342.428,0,13,10,0.574174297,0.425825703,13345.428
232,2,112,7723.314,1,82,70,0.568073803,0.431926197,7723.314
233,2,113,4339.511,0,27,40,0.708239438,0.291760562,4339.511
234,2,114,5191.56,1,40,27,0.576757223,0.423242777,5194.56
235,2,115,4657.154,0,30,40,0.609884137,0.390115863,4660.154
236,2,116,5824.51,0,70,82,0.563031729,0.436968271,5826.51
237,2,117,18900.494,0,70,75,0.659705562,0.340294438,18903.494
238,2,118,4334.927,0,70,72,0.735188383,0.264811617,4334.927
239,2,119,8621.08,0,70,63,0.584788863,0.415211137,8621.08
240,3,0,4612.844,1,70,91,0.533137803,0.466862197,4612.844
241,3,1,3098.964,0,7,10,0.694541456,0.305458544,3098.964
242,3,2,3949.32,0,10,4,0.703151862,0.296848138,4366.32
243,3,3,3992.314,1,17,10,0.489467499,0.510532501,3575.314
244,3,4,3063.877,0,2,10,0.678125,0.321875,3376.877
245,3,5,6334.299,1,68,70,0.545397264,0.454602736,6021.299
246,3,6,3503.517,0,38,40,0.68117501,0.31882499,3503.517
247,3,7,5757.464,1,70,52,0.382255244,0.617744756,5757.464
248,3,8,4202.759,1,10,8,0.424967885,0.575032115,4202.759
249,3,9,3362.251,1,70,61,0.41556681,0.58443319,3362.251
250,3,10,4765.607,0,6,10,0.542826867,0.457173133,4765.607
251,3,11,4393.51,0,40,43,0.502118644,0.497881356,4634.51
252,3,12,2648.53,0,10,16,0.707317073,0.292682927,2739.53
253,3,13,3205.018,1,10,7,0.480525504,0.519474496,2876.018
254,3,14,2249.129,0,70,84,0.607803647,0.392196353,2249.129
255,3,15,3368.787,1,51,40,0.410202655,0.589797345,3623.787
256,3,16,1595.809,0,24,40,0.698689373,0.301310627,1340.809
257,3,17,2598.623,0,43,40,0.647484009,0.352515991,2598.623
258,3,18,3256.513,1,61,70,0.458421964,0.541578036,3256.513
259,3,19,2950.898,1,16,10,0.346082035,0.653917965,2950.898
260,3,20,2088.328,0,10,2,0.598893499,0.401106501,2407.328
261,3,21,2892.78,0,70,77,0.5540008,0.4459992,2573.78
262,3,22,3153.39,1,37,40,0.463077814,0.536922186,3153.39
263,3,23,3489.703,0,40,51,0.581118903,0.418881097,3489.703
264,3,24,1597.213,0,4,10,0.638308399,0.361691601,1597.213
265,3,25,2715.458,0,10,17,0.6660746,0.3339254,2936.458
266,3,26,3544.648,1,10,6,0.458231955,0.541768045,3682.648
267,3,27,5488.943,1,70,68,0.315149767,0.684850233,5129.943
