,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
40,3,40,1,2874.212,5,23,0.589940324,0.41005967600000004
42,3,42,0,3598.0640000000003,79,83,0.600133372,0.39986662799999995
44,3,44,0,3112.865,28,23,0.728077945,0.271922055
46,3,46,0,1983.844,37,53,0.663347349,0.336652651
48,3,48,0,1740.578,23,5,0.644494757,0.35550524299999997
50,3,50,0,3192.21,23,14,0.512297899,0.487702101
52,3,52,0,2021.154,75,83,0.638904893,0.361095107
54,3,54,0,2458.908,59,53,0.66788071,0.33211929
56,3,56,0,2205.452,67,53,0.6887201740000001,0.31127982600000004
58,3,58,0,2075.831,39,23,0.6756756759999999,0.324324324
60,3,60,0,5185.448,58,53,0.5980799139999999,0.401920086
62,3,62,0,2231.5879999999997,44,23,0.6920786170000001,0.307921383
64,3,64,1,1702.985,23,35,0.33288382699999997,0.6671161729999999
66,3,66,1,2781.3979999999997,23,39,0.28775381,0.71224619
68,3,68,0,5509.326,83,79,0.539255684,0.46074431600000004
70,3,70,0,1935.545,83,81,0.650295892,0.34970410799999996
72,3,72,0,1970.037,46,23,0.577335575,0.422664425
74,3,74,0,1806.8629999999998,53,37,0.6501235879999999,0.349876412
76,3,76,0,3040.316,83,78,0.6619256020000001,0.33807439799999994
78,3,78,0,2434.871,88,83,0.713171702,0.286828298
80,3,80,0,6490.153,83,80,0.46599777,0.53400223
82,3,82,1,1734.384,53,45,0.22855096,0.77144904
84,3,84,1,3418.283,30,23,0.360075519,0.639924481
86,3,86,1,3212.035,53,61,0.43668515,0.56331485
88,3,88,0,2193.673,53,43,0.714394678,0.285605322
90,3,90,1,4461.154,53,63,0.432608892,0.5673911079999999
92,3,92,1,3086.176,51,53,0.37715993600000003,0.622840064
94,3,94,0,5495.088000000001,37,23,0.569599339,0.430400661
96,3,96,0,1895.259,73,83,0.644306804,0.355693196
98,3,98,0,5673.799,23,37,0.543354943,0.456645057
100,3,100,0,1521.761,84,83,0.6493668810000001,0.350633119
102,3,102,0,2040.4460000000001,82,83,0.535700272,0.46429972799999997
104,3,104,1,4915.342000000001,93,83,0.39855583200000005,0.601444168
106,3,106,1,2987.0490000000004,48,53,0.38483913799999997,0.615160862
108,3,108,0,3238.171,83,90,0.5518831670000001,0.448116833
110,3,110,0,1673.779,83,73,0.609798426,0.390201574
112,3,112,1,3245.341,11,23,0.34490085,0.65509915
114,3,114,1,3971.055,53,66,0.314447592,0.685552408
116,3,116,0,3063.151,23,11,0.565351895,0.434648105
118,3,118,0,2274.323,23,21,0.5922077920000001,0.407792208
0,4,0,0,14824.896999999999,23,2,0.54942559,0.45057441
2,4,2,0,9357.174,83,89,0.49646204200000005,0.503537958
4,4,4,0,1900.5720000000001,91,83,0.613603217,0.38639678299999997
6,4,6,0,1821.4389999999999,55,53,0.617349866,0.382650134
8,4,8,0,4593.317,83,85,0.5499178570000001,0.450082143
10,4,10,0,4057.3509999999997,87,83,0.556814293,0.44318570700000004
12,4,12,0,3201.176,83,77,0.564292615,0.435707385
14,4,14,0,15422.37,23,9,0.5270906160000001,0.472909384
16,4,16,0,2357.467,69,53,0.6428320829999999,0.35716791700000006
18,4,18,1,14929.605,32,23,0.454514152,0.545485848
